Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
22852;35635;"Magyar Onkologia";journal;"00250244, 20600399";"Magyar Onkologusok Tarsasaga";No;No;0,126;Q4;13;44;114;1424;30;112;0,29;32,36;28,04;0;Hungary;Eastern Europe;"Magyar Onkologusok Tarsasaga";"1961-1964, 1973-1985, 1987-1991, 1996-1997, 1999-2025";"Medicine (miscellaneous) (Q4); Oncology (Q4)";"Medicine"
22853;21101052917;"Mathematical Foundations of Computing";journal;"25778838";"American Institute of Mathematical Sciences";Yes;No;0,126;Q4;12;27;55;724;23;54;0,42;26,81;40,00;0;United States;Northern America;"American Institute of Mathematical Sciences";"2019-2026";"Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
22854;18468;"Medicus";journal;"1330013X";"PLIVA d.d.";Yes;No;0,126;Q4;8;34;110;874;17;102;0,17;25,71;72,55;0;Croatia;Eastern Europe;"PLIVA d.d.";"2002-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
22855;17439;"Nervenheilkunde";journal;"07221541, 25675788";"Georg Thieme Verlag";Yes;No;0,126;Q4;19;107;332;3804;50;278;0,16;35,55;48,80;4;Germany;Western Europe;"Georg Thieme Verlag";"1982-2026";"Family Practice (Q4); Neurology (clinical) (Q4)";"Medicine"
22856;21101016919;"Onati Socio-Legal Series";journal;"20795971";"Onati International Institute for the Sociology of Law";Yes;Yes;0,126;Q4;13;76;125;4905;79;123;0,63;64,54;50,94;6;Spain;Western Europe;"Onati International Institute for the Sociology of Law";"2019-2026";"Law (Q4); Social Sciences (miscellaneous) (Q4)";"Social Sciences"
22857;21100201730;"Organophosphorus Chemistry";book series;"14651904, 03060713";"Chemical Society";No;No;0,126;Q4;9;11;18;1768;6;8;0,11;160,73;0,00;0;United Kingdom;Western Europe;"Chemical Society";"2008, 2012, 2014-2018, 2020-2021, 2024";"Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
22858;17700155036;"Pensee Plurielle";journal;"17821479, 13760963";"De Boeck Supérieur";No;No;0,126;Q4;8;25;68;595;9;65;0,11;23,80;60,00;0;Belgium;Western Europe;"De Boeck Supérieur";"2001-2023";"Sociology and Political Science (Q4)";"Social Sciences"
22859;21100898620;"Poincare Journal of Analysis and Applications";journal;"23496789, 23496797";"Poincare Publisher";Yes;No;0,126;Q4;7;40;53;791;22;52;0,56;19,78;16,33;0;India;Asiatic Region;"Poincare Publisher";"2018-2026";"Analysis (Q4); Applied Mathematics (Q4)";"Mathematics"
22860;21100786325;"Przeglad Strategiczny";journal;"20846991";"Wydawnictwo Naukowe WNPiD UAM";No;No;0,126;Q4;5;28;92;1175;16;88;0,12;41,96;41,86;0;Poland;Eastern Europe;"Wydawnictwo Naukowe WNPiD UAM";"2016-2025";"Political Science and International Relations (Q4)";"Social Sciences"
22861;21101023183;"Revista Brasileira de Biometria";journal;"19830823";"";Yes;Yes;0,126;Q4;0;0;0;0;0;0;0,00;0,00;0,00;0;Brazil;Latin America;"";"2019-2022";"Agricultural and Biological Sciences (miscellaneous) (Q4); Applied Mathematics (Q4); Epidemiology (Q4); Public Health, Environmental and Occupational Health (Q4); Statistics and Probability (Q4)";"Agricultural and Biological Sciences; Mathematics; Medicine"
22862;15100;"Revista Brasileira de Oftalmologia";journal;"19828551, 00347280";"Sociedade Brasileira de Oftalmologia";Yes;Yes;0,126;Q4;15;85;261;1590;50;249;0,17;18,71;49,12;1;Brazil;Latin America;"Sociedade Brasileira de Oftalmologia";"1947-1971, 1973-2026";"Ophthalmology (Q4); Surgery (Q4)";"Medicine"
22863;5100152903;"Revista Cubana de Plantas Medicinales";journal;"10284796";"Editorial Ciencias Medicas";Yes;No;0,126;Q4;17;26;102;666;14;95;0,14;25,62;59,30;0;Cuba;Latin America;"Editorial Ciencias Medicas";"1996-1997, 1999-2002, 2005-2024";"Drug Discovery (Q4); Pharmacology (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences; Pharmacology, Toxicology and Pharmaceutics"
22864;5700167217;"Revista de Economia Institucional";journal;"01245996";"Universidad Externado de Colombia";Yes;Yes;0,126;Q4;15;16;91;563;30;80;0,35;35,19;36,00;0;Colombia;Latin America;"Universidad Externado de Colombia";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q4)";"Economics, Econometrics and Finance"
22865;21101023096;"Revista de Investigacion en Educacion";journal;"21723427, 16975200";"Universidade de Vigo - Facultad de Ciencias de la Educacion y del Deporte";No;No;0,126;Q4;7;13;21;562;7;21;0,33;43,23;48,28;0;Spain;Western Europe;"Universidade de Vigo - Facultad de Ciencias de la Educacion y del Deporte";"2019-2025";"Education (Q4)";"Social Sciences"
22866;21100857526;"Russian Sklifosovsky Journal of Emergency Medical Care";journal;"22239022, 25418017";"Sklifosovsky Research Institute for Emergency Medicine";Yes;Yes;0,126;Q4;11;114;154;3352;65;150;0,47;29,40;35,90;0;Russian Federation;Eastern Europe;"Sklifosovsky Research Institute for Emergency Medicine";"2017-2025";"Emergency Medicine (Q4)";"Medicine"
22867;21100981177;"Silva Gabreta";journal;"12117420";"Sprava Narodniho parku sumava";No;No;0,126;Q4;5;9;11;455;6;11;0,55;50,56;38,10;0;Czech Republic;Eastern Europe;"Sprava Narodniho parku sumava";"2019-2024";"Earth-Surface Processes (Q4); Forestry (Q4); Geography, Planning and Development (Q4); Geology (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science; Social Sciences"
22868;57806;"Socijalna Ekologija";journal;"13300113";"Croatian Sociological Association";Yes;Yes;0,126;Q4;13;18;44;781;12;42;0,00;43,39;58,14;0;Croatia;Eastern Europe;"Croatian Sociological Association";"1994-2025";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
22869;24534;"Spectroscopy Europe";journal;"26342561, 09660941";"IM Publications Open LLP";No;No;0,126;Q4;27;69;84;425;27;59;0,28;6,16;27,71;0;United Kingdom;Western Europe;"IM Publications Open LLP";"1996-2023";"Analytical Chemistry (Q4); Atomic and Molecular Physics, and Optics (Q4); Spectroscopy (Q4)";"Chemistry; Physics and Astronomy"
22870;21101043575;"Tec Empresarial";journal;"16592395, 16593359";"Business School, Instituto Tecnologico de Costa Rica";Yes;Yes;0,126;Q4;12;10;33;568;32;33;0,97;56,80;37,50;0;Costa Rica;Latin America;"Business School, Instituto Tecnologico de Costa Rica";"2019-2026";"Business and International Management (Q4); Business, Management and Accounting (miscellaneous) (Q4); Strategy and Management (Q4)";"Business, Management and Accounting"
22871;21100808441;"Teorie Vedy / Theory of Science";journal;"12100250, 18046347";"Czech Academy of Sciences";Yes;Yes;0,126;Q4;7;11;39;454;8;32;0,18;41,27;9,09;0;Czech Republic;Eastern Europe;"Czech Academy of Sciences";"2010-2025";"History and Philosophy of Science (Q4)";"Arts and Humanities"
22872;69812;"Thermology International";journal;"1560604X";"European Association of Thermology";No;No;0,126;Q4;18;10;42;331;16;26;0,59;33,10;45,83;0;Austria;Western Europe;"European Association of Thermology";"2002-2024";"Complementary and Alternative Medicine (Q4)";"Medicine"
22873;21100208082;"VacciMonitor";journal;"10250298, 1025028X";"Finlay Ediciones";Yes;Yes;0,126;Q4;7;20;51;453;10;47;0,28;22,65;55,32;0;Cuba;Latin America;"Finlay Ediciones";"2012-2025";"Drug Discovery (Q4); Immunology (Q4); Immunology and Allergy (Q4); Molecular Medicine (Q4)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
22874;21100920050;"Water and Energy International";journal;"09744711, 09744207";"Central Board of Irrigation and Power";No;No;0,126;Q4;9;117;175;1093;22;124;0,14;9,34;17,39;0;India;Asiatic Region;"Central Board of Irrigation and Power";"2010, 2013-2016, 2018-2025";"Renewable Energy, Sustainability and the Environment (Q4); Water Science and Technology (Q4)";"Energy; Environmental Science"
22875;20876;"Wiadomosci Lekarskie";journal;"00435147, 2719342X";"Wydawnictwo ALUNA";No;No;0,126;Q4;22;554;1336;0;471;1336;0,35;0,00;61,70;6;Poland;Eastern Europe;"Wydawnictwo ALUNA";"1960-1990, 1992-2025";"Engineering (miscellaneous) (Q4); Medicine (miscellaneous) (Q4)";"Engineering; Medicine"
22876;7200153128;"Zeitschrift fur Evaluation";journal;"16195515";"Waxmann Verlag GmbH";No;No;0,126;Q4;8;25;56;602;11;38;0,19;24,08;60,47;1;Germany;Western Europe;"Waxmann Verlag GmbH";"2006-2013, 2015-2025";"Applied Psychology (Q4); Communication (Q4); Education (Q4); Social Sciences (miscellaneous) (Q4); Statistics and Probability (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Mathematics; Psychology; Social Sciences"
22877;24068;"Zhurnal Vysshei Nervnoi Deyatelnosti Imeni I.P. Pavlova";journal;"00444677";"Izdatel'stvo Nauka";No;No;0,126;Q4;18;56;177;4143;69;177;0,34;73,98;63,06;0;Russian Federation;Eastern Europe;"Izdatel'stvo Nauka";"1951-2025";"Medicine (miscellaneous) (Q4); Neuroscience (miscellaneous) (Q4)";"Medicine; Neuroscience"
22878;19700201330;"Anthropology and Humanism";journal;"15481409, 15599167";"John Wiley and Sons Ltd";No;No;0,125;Q2;25;38;88;825;27;58;0,38;21,71;59,26;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1993-2026";"Literature and Literary Theory (Q2); Philosophy (Q3); Anthropology (Q4)";"Arts and Humanities; Social Sciences"
22879;21100788880;"Journal of Science and Technology of the Arts";journal;"16469798, 21830088";"Universidade Catolica Portuguesa";Yes;Yes;0,125;Q2;9;37;62;652;23;54;0,25;17,62;36,17;0;Portugal;Western Europe;"Universidade Catolica Portuguesa";"2016-2025";"Visual Arts and Performing Arts (Q2); Arts and Humanities (miscellaneous) (Q3); Conservation (Q3); Music (Q3); Computer Science Applications (Q4)";"Arts and Humanities; Computer Science"
22880;21100825350;"Kervan";journal;"1825263X";"Universita degli Studi di Torino, Facolta di Lingue e Letterature Straniere";Yes;Yes;0,125;Q2;6;29;80;1524;14;78;0,16;52,55;43,75;0;Italy;Western Europe;"Universita degli Studi di Torino, Facolta di Lingue e Letterature Straniere";"2017-2026";"Literature and Literary Theory (Q2); Linguistics and Language (Q3)";"Arts and Humanities; Social Sciences"
22881;23018;"Logos (The Netherlands)";journal;"18784712, 09579656";"Brill Academic Publishers";No;No;0,125;Q2;9;19;61;317;12;49;0,24;16,68;62,50;0;Netherlands;Western Europe;"Brill Academic Publishers";"1994, 1996-2025";"Literature and Literary Theory (Q2); Media Technology (Q3); Communication (Q4); Computer Science Applications (Q4); Education (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
22882;16100154712;"Revista Canadiense de Estudios Hispanicos";journal;"03848167";"Revista Canadiense de Estudios Hispanicos";No;No;0,125;Q2;8;34;105;1388;4;98;0,04;40,82;46,88;0;Canada;Northern America;"Revista Canadiense de Estudios Hispanicos";"2002-2022, 2024-2025";"Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2); Cultural Studies (Q3)";"Arts and Humanities; Social Sciences"
22883;16600154709;"Theatre Research in Canada-Recherches Theatrales au Canada";journal;"11961198";"University of Toronto Press";No;No;0,125;Q2;8;25;58;511;14;41;0,29;20,44;87,10;0;Canada;Northern America;"University of Toronto Press";"2002-2025";"Visual Arts and Performing Arts (Q2)";"Arts and Humanities"
22884;17100154728;"African Diaspora";book series;"18725457, 18725465";"Brill Academic Publishers";Yes;No;0,125;Q3;22;4;41;210;19;34;0,47;52,50;50,00;0;Netherlands;Western Europe;"Brill Academic Publishers";"2008-2016, 2018-2024";"Cultural Studies (Q3); History (Q3); Linguistics and Language (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
22885;16300154791;"Aramaic Studies";journal;"17455227, 14778351";"Brill Academic Publishers";No;No;0,125;Q3;13;15;39;769;14;37;0,42;51,27;0,00;0;Netherlands;Western Europe;"Brill Academic Publishers";"2003-2025";"Linguistics and Language (Q3); Religious Studies (Q3)";"Arts and Humanities; Social Sciences"
22886;21100444383;"Brill's Studies in Language, Cognition and Culture";book series;"18795412, 18795420";"Brill Academic Publishers";No;No;0,125;Q3;12;11;97;785;27;5;0,21;71,36;0,00;0;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2016, 2018-2025";"Cultural Studies (Q3); Linguistics and Language (Q3); Anthropology (Q4)";"Social Sciences"
22887;16800154739;"Contributions to the History of Concepts";journal;"1874656X, 18079326";"Berghahn Journals";No;No;0,125;Q3;17;12;35;816;22;34;0,58;68,00;15,38;0;United Kingdom;Western Europe;"Berghahn Journals";"2005-2009, 2011-2025";"History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
22888;19700182214;"Cultura. International Journal of Philosophy of Culture and Axiology (discontinued)";journal;"15841057, 20655002";"Cultura";No;No;0,125;Q3;11;21;72;576;11;71;0,20;27,43;37,93;0;United States;Northern America;"Cultura";"2009-2026";"Cultural Studies (Q3); Philosophy (Q3)";"Arts and Humanities; Social Sciences"
22889;21100933990;"Dialogue and Universalism";journal;"12345792, 16893816";"Polish Academy of Sciences - Institute of Philosophy and Sociology";No;No;0,125;Q3;4;55;90;1356;10;86;0,11;24,65;26,67;0;Poland;Eastern Europe;"Polish Academy of Sciences - Institute of Philosophy and Sociology";"2019-2025";"Philosophy (Q3); Communication (Q4)";"Arts and Humanities; Social Sciences"
22890;5600153212;"Durkheimian Studies";journal;"17522307, 1362024X";"Berghahn Journals";No;No;0,125;Q3;8;9;14;555;3;13;0,21;61,67;30,00;0;United Kingdom;Western Europe;"Berghahn Journals";"2011-2015, 2017, 2020-2024";"Philosophy (Q3); Religious Studies (Q3); Anthropology (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
22891;21100427626;"East Asian Publishing and Society";journal;"22106278, 22106286";"Brill Academic Publishers";No;No;0,125;Q3;5;5;15;289;4;15;0,11;57,80;33,33;0;Netherlands;Western Europe;"Brill Academic Publishers";"2011-2025";"Media Technology (Q3); Communication (Q4); Library and Information Sciences (Q4)";"Engineering; Social Sciences"
22892;21100941064;"Haser";journal;"2172055X, 23864761";"Universidad de Sevilla";Yes;Yes;0,125;Q3;3;13;12;379;3;12;0,25;29,15;41,67;0;Spain;Western Europe;"Universidad de Sevilla";"2019-2025";"Philosophy (Q3)";"Arts and Humanities"
22893;27887;"Horizons";journal;"20508557, 03609669";"Cambridge University Press";No;No;0,125;Q3;9;17;65;619;7;50;0,11;36,41;14,29;1;United Kingdom;Western Europe;"Cambridge University Press";"1970, 1974-2025";"Religious Studies (Q3); Education (Q4)";"Arts and Humanities; Social Sciences"
22894;21101007249;"Humanities, Arts and Social Sciences Studies";journal;"26300079";"Silpakorn University";No;No;0,125;Q3;6;52;66;1791;9;66;0,14;34,44;52,73;0;Thailand;Asiatic Region;"Silpakorn University";"2019-2025";"Arts and Humanities (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Social Sciences"
22895;16200154787;"Islam - Zeitschrift fur Geschichte und Kultur des Islamischen Orients";journal;"16130928, 00211818";"Walter de Gruyter GmbH";No;No;0,125;Q3;21;17;44;935;27;44;0,23;55,00;26,67;0;Germany;Western Europe;"Walter de Gruyter GmbH";"1910-1918, 1920-1930, 1932-1933, 1935-1938, 1942, 1948, 1950, 1952-1954, 1956-1961, 1963-2005, 2008-2009, 2011-2025";"Cultural Studies (Q3); History (Q3)";"Arts and Humanities; Social Sciences"
22896;21100395921;"Journal for Maritime Research";journal;"14691957, 21533369";"Routledge";No;No;0,125;Q3;12;7;27;370;5;23;0,25;52,86;33,33;0;United Kingdom;Western Europe;"Routledge";"1999-2013, 2015-2021";"History (Q3); Transportation (Q4)";"Arts and Humanities; Social Sciences"
22897;5700152725;"Journal of Ecclesiastical History";journal;"00220469, 14697637";"Cambridge University Press";No;No;0,125;Q3;27;109;72;965;27;72;0,27;8,85;18,56;0;United Kingdom;Western Europe;"Cambridge University Press";"1950-2026";"History (Q3); Religious Studies (Q3)";"Arts and Humanities"
22898;5600155201;"Journal of Religion";journal;"00224189, 15496538";"University of Chicago Press";No;No;0,125;Q3;26;21;53;0;19;43;0,40;0,00;46,15;0;United States;Northern America;"University of Chicago Press";"1982, 1996-2025";"Religious Studies (Q3)";"Arts and Humanities"
22899;15732;"Journal of the History of Ideas";journal;"00225037, 10863222";"University of Pennsylvania Press";No;No;0,125;Q3;47;34;92;0;57;81;0,53;0,00;48,28;0;United States;Northern America;"University of Pennsylvania Press";"1970-2026";"Philosophy (Q3)";"Arts and Humanities"
22900;21101047823;"Lexicography";journal;"21974292, 21974306";"University of Toronto Press";No;No;0,125;Q3;10;11;25;302;12;22;0,41;27,45;40,00;0;Canada;Northern America;"University of Toronto Press";"2014-2025";"Linguistics and Language (Q3)";"Social Sciences"
22901;21100237429;"Novyj Istoriceskij Vestnik";journal;"20729286";"Izd-vo Ippolitova";No;No;0,125;Q3;5;36;108;578;9;108;0,06;16,06;38,10;0;Russian Federation;Eastern Europe;"Izd-vo Ippolitova";"2012-2025";"History (Q3)";"Arts and Humanities"
22902;21100923613;"QED";journal;"23271574, 23271590";"Michigan State University Press";No;No;0,125;Q3;7;51;67;914;22;46;0,33;17,92;44,83;0;United States;Northern America;"Michigan State University Press";"2015-2016, 2019-2024";"Cultural Studies (Q3); Gender Studies (Q4)";"Social Sciences"
22903;21100285440;"Reformation";journal;"13574175, 17520738";"Maney Publishing";No;No;0,125;Q3;4;7;34;0;9;29;0,20;0,00;57,14;0;United Kingdom;Western Europe;"Maney Publishing";"2013-2025";"Religious Studies (Q3)";"Arts and Humanities"
22904;19700170230;"Sibirica";journal;"13617362, 14766787";"Berghahn Journals";Yes;Yes;0,125;Q3;10;15;56;694;22;48;0,56;46,27;68,18;0;United Kingdom;Western Europe;"Berghahn Journals";"2014-2025";"Cultural Studies (Q3); History (Q3); Anthropology (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
22905;24329;"Women's Studies";journal;"00497878, 15477045";"Routledge";No;No;0,125;Q3;23;65;162;1567;32;141;0,17;24,11;87,10;1;United Kingdom;Western Europe;"Routledge";"1972-1984, 1986-2026";"Arts and Humanities (miscellaneous) (Q3); Gender Studies (Q4); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Social Sciences"
22906;21101048376;"Zeitschrift fur Praktische Philosophie";journal;"24099961";"University of Salzburg";Yes;Yes;0,125;Q3;4;31;53;1465;7;49;0,13;47,26;35,90;1;Austria;Western Europe;"University of Salzburg";"2019-2026";"Philosophy (Q3)";"Arts and Humanities"
22907;74991;"Angiologia";journal;"00033170, 16952987";"ARAN Ediciones S.L";No;No;0,125;Q4;13;63;131;611;17;105;0,17;9,70;30,29;0;Spain;Western Europe;"ARAN Ediciones S.L";"1949-1993, 1996-2025";"Cardiology and Cardiovascular Medicine (Q4)";"Medicine"
22908;100850;"Archives of the Balkan Medical Union";journal;"2558815X, 15849244";"Balkan Medical Union";Yes;No;0,125;Q4;13;67;323;1660;104;311;0,28;24,78;56,30;0;Romania;Eastern Europe;"Balkan Medical Union";"2003-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
22909;21100842803;"Astronomical and Astrophysical Transactions";journal;"14763540, 10556796";"Cambridge Scientific Publishers";No;No;0,125;Q4;6;32;44;722;4;44;0,00;22,56;21,67;0;United Kingdom;Western Europe;"Cambridge Scientific Publishers";"1999, 2017-2025";"Astronomy and Astrophysics (Q4); Instrumentation (Q4)";"Physics and Astronomy"
22910;19700175782;"British Journal of Medical Practitioners";journal;"17578515";"JMN Medical Education Ltd";Yes;No;0,125;Q4;18;9;57;84;15;50;0,20;9,33;45,83;0;United Kingdom;Western Europe;"JMN Medical Education Ltd";"2010-2021";"Medicine (miscellaneous) (Q4)";"Medicine"
22911;23692;"Bulletin of the Kanagawa Prefectural Museum, Natural Science";journal;"04531906";"Kanagawa Prefectural Museum of Natural History";No;No;0,125;Q4;7;7;33;207;7;28;0,26;29,57;10,00;0;Japan;Asiatic Region;"Kanagawa Prefectural Museum of Natural History";"1979-1980, 1984-1985, 1987, 1989-2025";"Agricultural and Biological Sciences (miscellaneous) (Q4)";"Agricultural and Biological Sciences"
22912;21101039800;"Chinese Journal of Clinical Infectious Diseases";journal;"16742397";"Chinese Medical Journals Publishing House Co.Ltd";No;No;0,125;Q4;12;80;164;2141;92;164;0,56;26,76;48,50;0;China;Asiatic Region;"Chinese Medical Journals Publishing House Co.Ltd";"2019-2025";"Immunology (Q4); Infectious Diseases (Q4); Microbiology (medical) (Q4)";"Immunology and Microbiology; Medicine"
22913;21101038686;"Chinese Journal of Ultrasonography";journal;"10044477";"Chinese Medical Journals Publishing House Co.Ltd";No;No;0,125;Q4;9;204;354;4063;152;354;0,43;19,92;51,01;0;China;Asiatic Region;"Chinese Medical Journals Publishing House Co.Ltd";"2019-2026";"Radiological and Ultrasound Technology (Q4); Radiology, Nuclear Medicine and Imaging (Q4)";"Health Professions; Medicine"
22914;21100241762;"Chiropractic Journal of Australia";journal;"22008012, 10360913";"Chiropractors' Association of Australia";No;No;0,125;Q4;6;6;14;164;6;13;0,00;27,33;33,33;0;Australia;Pacific Region;"Chiropractors' Association of Australia";"2010-2013, 2016-2018, 2021-2024";"Complementary and Alternative Medicine (Q4)";"Medicine"
22915;12400154714;"FOG - Freiberg Online Geoscience";journal;"14347512";"Technical University Freiberg";Yes;No;0,125;Q4;9;4;8;586;3;8;0,33;146,50;33,33;0;Germany;Western Europe;"Technical University Freiberg";"2006, 2008-2021";"Ecology (Q4); Environmental Chemistry (Q4); Geology (Q4); Water Science and Technology (Q4)";"Earth and Planetary Sciences; Environmental Science"
22916;19700200711;"Gastroenterology Insights";journal;"20367422";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,125;Q4;14;43;16;2303;10;14;0,75;53,56;45,50;1;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2009-2013, 2015-2025";"Gastroenterology (Q4); Hepatology (Q4)";"Medicine"
22917;26346;"Geologica Balcanica";journal;"25351060, 03240894";"Geological Institute “Strashimir Dimitrov”, Bulgarian Academy of Sciences";No;No;0,125;Q4;9;16;28;619;10;27;0,36;38,69;34,15;0;Bulgaria;Eastern Europe;"Geological Institute “Strashimir Dimitrov”, Bulgarian Academy of Sciences";"1977-1979, 1981-1985, 1987, 1993-1996, 2019-2025";"Earth and Planetary Sciences (miscellaneous) (Q4)";"Earth and Planetary Sciences"
22918;21100401127;"Global Journal of Comparative Law";journal;"2211906X, 22119051";"Brill Nijhoff";No;No;0,125;Q4;8;16;31;558;19;30;0,44;34,88;43,18;0;Netherlands;Western Europe;"Brill Nijhoff";"2012-2025";"Law (Q4)";"Social Sciences"
22919;21049;"Gongneng Cailiao/Journal of Functional Materials";journal;"10019731";"Journal of Functional Materials";No;No;0,125;Q4;22;390;1260;11936;371;1260;0,33;30,61;39,99;0;China;Asiatic Region;"Journal of Functional Materials";"1993-2025";"Condensed Matter Physics (Q4); Electrical and Electronic Engineering (Q4); Electronic, Optical and Magnetic Materials (Q4); Materials Chemistry (Q4)";"Engineering; Materials Science; Physics and Astronomy"
22920;21100369847;"Human Pathology: Case Reports";journal;"22143300";"Elsevier Inc.";Yes;No;0,125;Q4;0;0;0;0;0;0;0,00;0,00;0,00;0;United States;Northern America;"Elsevier Inc.";"2014-2021";"Pathology and Forensic Medicine (Q4)";"Medicine"
22921;12754;"International Journal of COMADEM";journal;"13637681";"COMADEM International";No;No;0,125;Q4;14;18;94;339;19;93;0,20;18,83;17,14;0;United Kingdom;Western Europe;"COMADEM International";"2003-2023";"Bioengineering (Q4); Electrical and Electronic Engineering (Q4); Industrial and Manufacturing Engineering (Q4); Safety, Risk, Reliability and Quality (Q4); Signal Processing (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Chemical Engineering; Computer Science; Engineering"
22922;19700188346;"International Journal of Infertility and Fetal Medicine";journal;"22293817, 22293833";"Jaypee Brothers Medical Publishers (P) Ltd";No;No;0,125;Q4;10;20;49;331;7;43;0,08;16,55;53,45;0;India;Asiatic Region;"Jaypee Brothers Medical Publishers (P) Ltd";"2010-2025";"Reproductive Medicine (Q4)";"Medicine"
22923;21100218039;"Iranian Heart Journal";journal;"17357306";"Iranian Heart Association";No;No;0,125;Q4;8;68;148;1320;24;148;0,12;19,41;35,20;0;Iran;Middle East;"Iranian Heart Association";"2011-2026";"Cardiology and Cardiovascular Medicine (Q4)";"Medicine"
22924;33604;"Journal and Proceedings of the Royal Society of New South Wales";journal;"00359173";"Royal Society of New South Wales";No;No;0,125;Q4;12;31;97;402;26;90;0,20;12,97;27,03;0;Australia;Pacific Region;"Royal Society of New South Wales";"1982-1997, 2009-2025";"Multidisciplinary (Q4)";"Multidisciplinary"
22925;21100229117;"Journal for Advancement of Marketing Education";journal;"15375137, 23263296";"Marketing Management Association";No;No;0,125;Q4;12;11;26;426;14;25;0,40;38,73;56,52;0;United States;Northern America;"Marketing Management Association";"2012-2024";"Education (Q4); Marketing (Q4)";"Business, Management and Accounting; Social Sciences"
22926;19474;"Journal of Beijing Institute of Technology (English Edition)";journal;"10040579";"Beijing Institute of Technology";No;No;0,125;Q4;17;65;237;1797;66;237;0,24;27,65;35,41;0;China;Asiatic Region;"Beijing Institute of Technology";"1994-2025";"Engineering (miscellaneous) (Q4)";"Engineering"
22927;5000158305;"Journal of Clinical and Experimental Hematopathology";journal;"18809952, 13464280";"Nihon Rinpa Monaikei Gakkai";Yes;No;0,125;Q4;37;34;62;995;101;47;1,63;29,26;25,96;0;Japan;Asiatic Region;"Nihon Rinpa Monaikei Gakkai";"2006-2016, 2019-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
22928;21101027487;"Journal of Cultural Marketing Strategy";journal;"20568002, 20568010";"Henry Stewart Publications";No;No;0,125;Q4;5;17;15;833;10;12;0,67;49,00;54,17;0;United Kingdom;Western Europe;"Henry Stewart Publications";"2020-2025";"Management Information Systems (Q4); Marketing (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting"
22929;12100154936;"Journal of Integrated Circuits and Systems";journal;"18071953, 18720234";"Brazilian Microelectronics Society";Yes;No;0,125;Q4;14;52;77;2213;35;77;0,47;42,56;17,75;0;Brazil;Latin America;"Brazilian Microelectronics Society";"2007-2025";"Electrical and Electronic Engineering (Q4)";"Engineering"
22930;21101039846;"Journal of Tropical Biodiversity and Biotechnology";journal;"25409573, 25409581";"Universitas Gadjah Mada, Faculty of Biology";Yes;No;0,125;Q4;10;45;44;1655;22;44;0,50;36,78;40,44;0;Indonesia;Asiatic Region;"Universitas Gadjah Mada, Faculty of Biology";"2019-2026";"Agricultural and Biological Sciences (miscellaneous) (Q4); Applied Microbiology and Biotechnology (Q4); Biotechnology (Q4); Ecology, Evolution, Behavior and Systematics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
22931;19900191975;"Journal of Uncertain Systems";journal;"17528917, 17528909";"World Scientific";No;No;0,125;Q4;24;27;63;628;12;62;0,14;23,26;39,47;0;Singapore;Asiatic Region;"World Scientific";"2011-2019, 2021-2026";"Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Control and Optimization (Q4)";"Computer Science; Mathematics"
